<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.11.20	08:00:00	1.10754	1.10936	1.10636	1.10724	20644	0	1
2017.11.20	12:00:00	1.10725	1.10821	1.10570	1.10691	15344	0	1
2017.11.20	16:00:00	1.10692	1.10938	1.10642	1.10867	16242	0	0
2017.11.20	20:00:00	1.10862	1.11005	1.10809	1.10825	4779	0	3
2017.11.21	00:00:00	1.10818	1.10956	1.10653	1.10869	13463	0	1
2017.11.21	04:00:00	1.10864	1.10946	1.10766	1.10860	7340	0	0
2017.11.21	08:00:00	1.10855	1.11110	1.10774	1.11031	20478	0	0
2017.11.21	12:00:00	1.11031	1.11161	1.11014	1.11038	18496	0	0
2017.11.21	16:00:00	1.11037	1.11042	1.10892	1.10975	19229	0	0
2017.11.21	20:00:00	1.10975	1.10987	1.10866	1.10911	9214	0	2
2017.11.22	00:00:00	1.10911	1.10991	1.10696	1.10740	13998	0	1
2017.11.22	04:00:00	1.10741	1.10854	1.10701	1.10811	10989	0	0
2017.11.22	08:00:00	1.10811	1.10830	1.10650	1.10672	17079	0	0
2017.11.22	12:00:00	1.10671	1.10858	1.10668	1.10782	16810	0	1
2017.11.22	16:00:00	1.10781	1.10846	1.10607	1.10677	19922	0	2
2017.11.22	20:00:00	1.10677	1.10818	1.10537	1.10565	14261	0	2
2017.11.23	00:00:00	1.10565	1.10835	1.10557	1.10788	11955	0	2
2017.11.23	04:00:00	1.10788	1.10791	1.10622	1.10736	10867	0	2
2017.11.23	08:00:00	1.10738	1.10778	1.10508	1.10611	18104	0	1
2017.11.23	12:00:00	1.10615	1.10761	1.10525	1.10656	15780	0	1
2017.11.23	16:00:00	1.10654	1.10778	1.10570	1.10676	8245	0	0
2017.11.23	20:00:00	1.10673	1.10772	1.10577	1.10616	8088	0	0
2017.11.24	00:00:00	1.10616	1.10774	1.10595	1.10629	12127	0	0
2017.11.24	04:00:00	1.10631	1.10875	1.10610	1.10857	9694	0	1
2017.11.24	08:00:00	1.10857	1.10893	1.10695	1.10755	16476	0	0
2017.11.24	12:00:00	1.10755	1.10846	1.10669	1.10742	16250	0	1
2017.11.24	16:00:00	1.10744	1.10747	1.10556	1.10664	15315	0	3
2017.11.24	20:00:00	1.10667	1.10889	1.10461	1.10640	10495	0	2
2017.11.27	00:00:00	1.10598	1.10812	1.10584	1.10783	10063	0	0
2017.11.27	04:00:00	1.10783	1.10859	1.10743	1.10813	8108	0	1
2017.11.27	08:00:00	1.10813	1.10880	1.10635	1.10717	18030	0	0
2017.11.27	12:00:00	1.10720	1.10759	1.10309	1.10327	17343	0	0
2017.11.27	16:00:00	1.10324	1.10366	1.09990	1.10098	20680	0	0
2017.11.27	20:00:00	1.10096	1.10179	1.09957	1.09957	7710	0	3
2017.11.28	00:00:00	1.09957	1.10023	1.09760	1.09816	11180	0	0
2017.11.28	04:00:00	1.09816	1.09865	1.09640	1.09643	13410	0	0
2017.11.28	08:00:00	1.09640	1.09878	1.09610	1.09686	20417	0	0
2017.11.28	12:00:00	1.09687	1.09871	1.09634	1.09675	17329	0	0
2017.11.28	16:00:00	1.09672	1.09962	1.09607	1.09952	24048	0	0
2017.11.28	20:00:00	1.09955	1.10131	1.09643	1.10036	16837	0	0
2017.11.29	00:00:00	1.10036	1.10345	1.09989	1.10157	13852	0	1
2017.11.29	04:00:00	1.10153	1.10221	1.09968	1.10024	13698	0	0
2017.11.29	08:00:00	1.10023	1.10081	1.09481	1.09548	17055	0	0
2017.11.29	12:00:00	1.09548	1.09756	1.09511	1.09720	21198	0	0
2017.11.29	16:00:00	1.09718	1.09950	1.09703	1.09884	27607	0	0
2017.11.29	20:00:00	1.09885	1.10062	1.09871	1.09949	12647	0	2
2017.11.30	00:00:00	1.09949	1.10802	1.09869	1.10744	17970	0	1
2017.11.30	04:00:00	1.10743	1.10943	1.10717	1.10866	16177	0	1
2017.11.30	08:00:00	1.10866	1.10880	1.10598	1.10612	21760	0	0
2017.11.30	12:00:00	1.10599	1.10741	1.10471	1.10502	19401	0	0
2017.11.30	16:00:00	1.10502	1.10695	1.10402	1.10541	33594	0	0
2017.11.30	20:00:00	1.10534	1.10735	1.10525	1.10719	16835	0	3
2017.12.01	00:00:00	1.10719	1.10834	1.10564	1.10745	16304	0	2
2017.12.01	04:00:00	1.10743	1.10877	1.10644	1.10782	17060	0	1
2017.12.01	08:00:00	1.10782	1.10926	1.10732	1.10765	27021	0	1
2017.12.01	12:00:00	1.10766	1.10771	1.10452	1.10563	25035	0	0
2017.12.01	16:00:00	1.10563	1.10708	1.10444	1.10460	43777	0	0
2017.12.01	20:00:00	1.10459	1.10577	1.10321	1.10432	10656	0	4
2017.12.04	00:00:00	1.10608	1.10757	1.10525	1.10690	15566	0	2
2017.12.04	04:00:00	1.10691	1.10951	1.10689	1.10951	14521	0	3
2017.12.04	08:00:00	1.10951	1.10966	1.10709	1.10790	22759	0	0
2017.12.04	12:00:00	1.10791	1.10896	1.10701	1.10845	21122	0	0
2017.12.04	16:00:00	1.10842	1.11046	1.10825	1.10954	27770	0	0
2017.12.04	20:00:00	1.10945	1.11000	1.10693	1.10693	15416	0	1
2017.12.05	00:00:00	1.10684	1.10990	1.10487	1.10699	18577	0	0
2017.12.05	04:00:00	1.10697	1.11007	1.10662	1.10946	17290	0	0
2017.12.05	08:00:00	1.10948	1.11135	1.10807	1.10885	20546	0	0
2017.12.05	12:00:00	1.10885	1.10983	1.10760	1.10762	18496	0	0
2017.12.05	16:00:00	1.10763	1.10834	1.10506	1.10576	33223	0	0
2017.12.05	20:00:00	1.10580	1.10671	1.10497	1.10591	16155	0	0
2017.12.06	00:00:00	1.10591	1.10901	1.10045	1.10156	17492	0	0
2017.12.06	04:00:00	1.10156	1.10157	1.09764	1.09783	17341	0	0
2017.12.06	08:00:00	1.09778	1.10108	1.09657	1.10062	22626	0	0
2017.12.06	12:00:00	1.10069	1.10250	1.09973	1.09977	19318	0	0
2017.12.06	16:00:00	1.09976	1.10068	1.09895	1.10037	25747	0	0
2017.12.06	20:00:00	1.10036	1.10057	1.09803	1.09803	13669	0	0
2017.12.07	00:00:00	1.09802	1.10042	1.09576	1.09782	16320	0	0
2017.12.07	04:00:00	1.09782	1.10163	1.09723	1.10091	15960	0	0
2017.12.07	08:00:00	1.10091	1.10166	1.09955	1.10067	18144	0	0
2017.12.07	12:00:00	1.10067	1.10147	1.09901	1.09929	18508	0	0
2017.12.07	16:00:00	1.09929	1.09997	1.09849	1.09919	23837	0	0
2017.12.07	20:00:00	1.09919	1.10030	1.09874	1.09891	20751	0	1
2017.12.08	00:00:00	1.09891	1.10043	1.09854	1.09956	14019	0	0
2017.12.08	04:00:00	1.09955	1.09986	1.09831	1.09893	14893	0	0
2017.12.08	08:00:00	1.09892	1.09901	1.09689	1.09828	18193	0	1
2017.12.08	12:00:00	1.09828	1.09883	1.09551	1.09708	20853	0	0
2017.12.08	16:00:00	1.09706	1.09717	1.09511	1.09621	26358	0	0
2017.12.08	20:00:00	1.09620	1.09829	1.09610	1.09662	8190	0	0
2017.12.11	00:00:00	1.09642	1.09847	1.09458	1.09647	15979	0	0
2017.12.11	04:00:00	1.09645	1.09670	1.08892	1.08979	18459	0	0
2017.12.11	08:00:00	1.08979	1.09101	1.08639	1.08711	17900	0	0
2017.12.11	12:00:00	1.08708	1.08913	1.08702	1.08877	16196	0	0
2017.12.11	16:00:00	1.08878	1.09016	1.08802	1.08951	19150	0	0
2017.12.11	20:00:00	1.08951	1.08983	1.08842	1.08845	11031	0	0
2017.12.12	00:00:00	1.08845	1.09027	1.08668	1.08699	9861	0	0
2017.12.12	04:00:00	1.08703	1.08855	1.08598	1.08729	11619	0	0
2017.12.12	08:00:00	1.08725	1.08942	1.08622	1.08855	19632	0	0
2017.12.12	12:00:00	1.08854	1.09137	1.08844	1.09027	16978	0	0
2017.12.12	16:00:00	1.09027	1.09044	1.08845	1.08985	20298	0	0
2017.12.12	20:00:00	1.08986	1.09025	1.08936	1.08936	11809	0	0
2017.12.13	00:00:00	1.08936	1.09033	1.08840	1.08988	10276	0	0
2017.12.13	04:00:00	1.08988	1.09118	1.08819	1.09059	10668	0	0
2017.12.13	08:00:00	1.09059	1.09109	1.08884	1.08923	12025	0	0
2017.12.13	12:00:00	1.08924	1.09010	1.08818	1.08880	17534	0	0
2017.12.13	16:00:00	1.08882	1.08904	1.08681	1.08791	21058	0	0
2017.12.13	20:00:00	1.08788	1.08823	1.08589	1.08674	22539	0	0
2017.12.14	00:00:00	1.08674	1.09431	1.08645	1.09341	18195	0	1
2017.12.14	04:00:00	1.09334	1.09527	1.09304	1.09524	14434	0	0
2017.12.14	08:00:00	1.09524	1.09569	1.09372	1.09494	18852	0	0
2017.12.14	12:00:00	1.09494	1.09609	1.09379	1.09601	21202	0	0
2017.12.14	16:00:00	1.09600	1.09798	1.09525	1.09646	22529	0	0
2017.12.14	20:00:00	1.09642	1.09847	1.09558	1.09723	16565	0	0
2017.12.15	00:00:00	1.09722	1.09790	1.09599	1.09678	12078	0	2
2017.12.15	04:00:00	1.09678	1.09687	1.09207	1.09277	16095	0	2
2017.12.15	08:00:00	1.09274	1.09507	1.09264	1.09407	17163	0	0
2017.12.15	12:00:00	1.09407	1.09436	1.09148	1.09252	19212	0	0
2017.12.15	16:00:00	1.09252	1.09338	1.09096	1.09221	26733	0	0
2017.12.15	20:00:00	1.09220	1.09376	1.09190	1.09292	9801	0	0
2017.12.18	00:00:00	1.09221	1.09329	1.09117	1.09179	11638	0	4
2017.12.18	04:00:00	1.09179	1.09281	1.09119	1.09219	11571	0	9
2017.12.18	08:00:00	1.09220	1.09250	1.09089	1.09235	17030	0	5
2017.12.18	12:00:00	1.09235	1.09422	1.09214	1.09392	14048	0	4
2017.12.18	16:00:00	1.09393	1.09530	1.09332	1.09463	18318	0	5
2017.12.18	20:00:00	1.09465	1.09615	1.09437	1.09478	6205	0	4
2017.12.19	00:00:00	1.09478	1.09708	1.09284	1.09305	11238	0	4
2017.12.19	04:00:00	1.09303	1.09578	1.09259	1.09515	10416	0	5
2017.12.19	08:00:00	1.09515	1.09546	1.09406	1.09469	11320	0	4
2017.12.19	12:00:00	1.09466	1.09513	1.09402	1.09479	13788	0	4
2017.12.19	16:00:00	1.09481	1.09663	1.09462	1.09545	27481	0	4
2017.12.19	20:00:00	1.09544	1.09942	1.09540	1.09840	7144	0	5
2017.12.20	00:00:00	1.09840	1.09919	1.09696	1.09745	9683	0	5
